ダウンロードした時刻：2020/08/12 14:47:28

,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2014/8/10,25.5,8,1,28.8,8,3,21.3,8,3
2014/8/11,29.2,8,1,32.5,8,3,26.4,8,3
2015/8/1,30.9,8,1,37.5,8,3,26.4,8,3
2015/8/2,29.7,8,1,36.6,8,3,24.8,8,3
2015/8/3,29.4,8,1,36.5,8,3,23.5,8,3
2015/8/4,30.1,8,1,36.7,8,3,25.4,8,3
2015/8/5,30.5,8,1,36.0,8,3,25.6,8,3
2015/8/6,30.6,8,1,37.1,8,3,24.8,8,3
2015/8/7,31.3,8,1,37.6,8,3,25.5,8,3
2015/8/8,28.0,8,1,32.7,8,3,24.9,8,3
2015/8/9,28.1,8,1,33.1,8,3,24.1,8,3
2015/8/10,27.5,8,1,31.3,8,3,24.2,8,3
2015/8/11,29.1,8,1,34.3,8,3,24.4,8,3
2016/8/1,27.5,8,1,31.4,8,3,25.0,8,3
2016/8/2,27.3,8,1,31.6,8,3,23.6,8,3
2016/8/3,27.0,8,1,32.4,8,3,22.8,8,3
2016/8/4,28.2,8,1,34.4,8,3,23.8,8,3
2016/8/5,28.9,8,1,34.8,8,3,24.8,8,3
2016/8/6,29.9,8,1,35.2,8,3,25.7,8,3
2016/8/7,28.9,8,1,33.3,8,3,26.1,8,3
2016/8/8,28.3,8,1,33.1,8,3,24.2,8,3
2016/8/9,31.1,8,1,35.8,8,3,25.5,8,3
2016/8/10,28.7,8,1,33.1,8,3,25.7,8,3
2016/8/11,27.3,8,1,31.3,8,3,24.7,8,3
2017/8/1,26.2,8,1,29.5,8,3,22.7,8,3
2017/8/2,23.3,8,1,25.4,8,3,21.6,8,3
2017/8/3,24.6,8,1,28.4,8,3,20.8,8,3
2017/8/4,25.8,8,1,30.3,8,3,21.7,8,3
2017/8/5,28.1,8,1,32.8,8,3,24.4,8,3
2017/8/6,29.3,8,1,33.7,8,3,26.2,8,3
2017/8/7,29.4,8,1,33.9,8,3,25.5,8,3
2017/8/8,29.4,8,1,33.3,8,3,26.6,8,3
2017/8/9,29.7,8,1,36.8,8,3,25.1,8,3
2017/8/10,25.4,8,1,28.5,8,3,22.3,8,3
2017/8/11,23.1,8,1,25.5,8,3,21.8,8,3
2018/8/1,31.1,8,1,37.4,8,3,25.1,8,3
2018/8/2,31.6,8,1,36.5,8,3,26.7,8,3
2018/8/3,30.9,8,1,36.6,8,3,26.5,8,3
2018/8/4,30.2,8,1,35.7,8,3,25.7,8,3
2018/8/5,31.6,8,1,36.9,8,3,27.8,8,3
2018/8/6,28.4,8,1,33.1,8,3,22.9,8,3
2018/8/7,22.2,8,1,24.5,8,3,21.0,8,3
2018/8/8,24.6,8,1,27.8,8,3,22.2,8,3
2018/8/9,28.6,8,1,34.4,8,3,24.6,8,3
2018/8/10,30.3,8,1,34.9,8,3,25.9,8,3
2018/8/11,28.5,8,1,34.2,8,3,25.0,8,3
2019/8/1,30.5,8,1,37.2,8,3,26.4,8,3
2019/8/2,30.6,8,1,37.7,8,3,26.9,8,3
2019/8/3,30.5,8,1,36.8,8,3,26.0,8,3
2019/8/4,30.4,8,1,36.3,8,3,25.7,8,3
2019/8/5,30.4,8,1,35.7,8,3,25.5,8,3
